iter	Accuracy	Logloss
598	0.8034674209	0.4485463141
599	0.8034784625	0.4485318795
600	0.8034858235	0.4485270201
601	0.8034858235	0.4485140808
602	0.8034987054	0.448501429
603	0.8035281496	0.4484904449
604	0.8035336703	0.4484666078
605	0.8035134275	0.448443547
606	0.8035115872	0.448424138
607	0.8035281496	0.4484116012
608	0.8035263093	0.448399697
609	0.8035189483	0.4483871315
610	0.8035447119	0.448374796
611	0.8035833574	0.4483615691
612	0.8035907185	0.448353748
613	0.8035723158	0.448340061
614	0.803559434	0.4483284156
615	0.8035686353	0.4483112494
616	0.8035888782	0.4482949171
617	0.8035907185	0.4482824091
618	0.8035833574	0.4482702173
619	0.8035833574	0.448265818
620	0.8035999198	0.4482501757
621	0.8035888782	0.4482373802
622	0.80360176	0.4482311693
623	0.8036238432	0.4482152683
624	0.8036606484	0.4482010638
625	0.803679051	0.4481830925
626	0.8036882523	0.4481690605
627	0.8037084952	0.4481468623
628	0.8037268978	0.4481304437
629	0.8037195368	0.4481142552
630	0.803748981	0.4481079005
631	0.8037397796	0.44808645
632	0.8037581823	0.4480679036
633	0.8037545017	0.4480614627
634	0.8037876264	0.448046453
635	0.8037673836	0.448038977
636	0.8037876264	0.4480322198
637	0.803798668	0.4480188204
638	0.8037692238	0.4480046446
639	0.8037949875	0.4479792547
640	0.8038097096	0.4479666317
641	0.8038225914	0.4479548713
642	0.8038483551	0.4479376476
643	0.803833633	0.4479252546
644	0.8038612369	0.4479067657
645	0.8038520356	0.4478913247
646	0.8038446746	0.4478767752
647	0.8038428343	0.4478616218
648	0.8038630772	0.4478484524
649	0.8038557161	0.4478323501
650	0.8038741187	0.4478128548
651	0.8038851603	0.4478048612
652	0.8038833201	0.4477902829
653	0.8038833201	0.4477656119
654	0.803918285	0.4477525575
655	0.8039054032	0.4477326597
656	0.8039072435	0.4477135957
657	0.8039403682	0.4476994487
658	0.8039385279	0.4476780844
659	0.803918285	0.4476672154
660	0.803910924	0.4476493878
661	0.8039422084	0.4476388926
662	0.8039550903	0.4476290299
663	0.8039514097	0.4476177871
664	0.8039458889	0.4476041864
665	0.8039458889	0.4475848349
666	0.8039422084	0.4475697678
667	0.8039477292	0.4475566559
668	0.8039569305	0.4475392597
669	0.8039863747	0.447521921
670	0.8040047773	0.447507889
671	0.8040213397	0.4474944608
672	0.8040452631	0.4474786461
673	0.8040618254	0.4474636077
674	0.8040342215	0.4474467865
675	0.8040673462	0.4474406332
676	0.8040747073	0.447425336
677	0.8040673462	0.4474150708
678	0.8040931099	0.4473983934
679	0.8040949501	0.4473909749
680	0.8041207138	0.4473719972
681	0.8041225541	0.4473597192
682	0.8041446372	0.4473435306
683	0.8041538385	0.447323144
684	0.8041869632	0.4473052302
685	0.8041648801	0.4472980704
686	0.8041722411	0.4472877189
687	0.8041611996	0.4472765623
688	0.8041611996	0.4472610926
689	0.8041869632	0.4472422012
690	0.8041906437	0.4472318785
691	0.8042200879	0.4472108305
692	0.8042182477	0.4471906164
693	0.8042256087	0.4471743128
694	0.8042440113	0.4471673256
695	0.80423481	0.4471537536
696	0.8042256087	0.4471417919
697	0.8042458516	0.4471315267
698	0.8042679347	0.4471216066
699	0.8042752958	0.4471001848
700	0.8043065802	0.4470882806
701	0.8042881776	0.4470666
702	0.8042973789	0.4470563635
703	0.8043084205	0.4470504402
704	0.8042992192	0.4470433667
705	0.8043507465	0.4470223762
706	0.8043489062	0.4470057563
707	0.804396753	0.4469894528
708	0.8043783504	0.446974932
709	0.8043617881	0.4469553504
710	0.8043360244	0.4469389893
711	0.8043875517	0.446920903
712	0.8044077946	0.4469066122
713	0.8044261972	0.4468956569
714	0.8044538012	0.4468874045
715	0.8044427596	0.446878462
716	0.8044556414	0.4468605482
717	0.8044188362	0.446850628
718	0.8044096349	0.4468377174
719	0.8044501206	0.4468273085
720	0.804466683	0.4468168132
721	0.8044464401	0.4468024362
722	0.8044335583	0.446785155
723	0.8044353985	0.4467716118
724	0.8044538012	0.4467596501
725	0.8044464401	0.4467492411
726	0.804466683	0.4467319887
727	0.8044703635	0.4467184455
728	0.8044814051	0.4467063688
729	0.8044906064	0.446693947
730	0.8044961272	0.4466793687
731	0.8045329324	0.4466616849
732	0.8045237311	0.4466526274
733	0.8045550155	0.4466424484
734	0.8045642168	0.4466287327
735	0.8045660571	0.44661795
736	0.8045660571	0.4466038029
737	0.8045605363	0.4465965282
738	0.8045844597	0.4465788444
739	0.8045899805	0.4465573363
740	0.8046028623	0.4465462085
741	0.8046047026	0.4465325216
742	0.8046047026	0.4465066716
743	0.8046083831	0.4464954575
744	0.8046359871	0.4464791252
745	0.8046231052	0.446461384
746	0.8046139039	0.4464562657
747	0.8046157442	0.446447467
748	0.8046378273	0.4464355915
749	0.8046580702	0.4464276554
750	0.8046488689	0.446403502
751	0.8046304663	0.4463901026
752	0.8046525494	0.4463737415
753	0.8046672715	0.4463646552
754	0.8047114378	0.4463530098
755	0.8047151183	0.4463397254
756	0.804713278	0.4463283675
757	0.8047298404	0.4463146806
758	0.8047280001	0.4462966805
759	0.8047187988	0.4462793131
760	0.8047280001	0.4462708594
761	0.8047390417	0.4462546708
762	0.8047335209	0.4462463321
763	0.8047740067	0.4462257442
764	0.8047924093	0.4462114247
765	0.8047850482	0.4461980253
766	0.8047997703	0.4461871275
767	0.8047850482	0.4461717728
768	0.8048089716	0.4461557855
769	0.8048365756	0.446146958
770	0.8048476171	0.4461347375
771	0.8048273743	0.4461229196
772	0.8048457769	0.4461088876
773	0.8048697003	0.4460967534
774	0.8048549782	0.4460808236
775	0.8048531379	0.4460733475
776	0.8048623392	0.4460601782
777	0.8048512977	0.4460493666
778	0.804860499	0.4460313091
779	0.8048789016	0.4460181397
780	0.8048789016	0.4460070981
781	0.80486786	0.4460005134
782	0.8048862626	0.4459882642
783	0.8048881029	0.4459745485
784	0.8049249081	0.4459645996
785	0.8049341094	0.4459538168
786	0.804910186	0.4459418838
787	0.8048917834	0.445923625
788	0.8048733808	0.445912986
789	0.8048936237	0.4458962224
790	0.8049009847	0.445881069
791	0.8048881029	0.4458630976
792	0.8049138666	0.4458457877
793	0.8049138666	0.4458302892
794	0.8049359497	0.4458216918
795	0.8049580328	0.4458043818
796	0.8049709147	0.445788222
797	0.8049653939	0.4457810335
798	0.8049911575	0.4457663689
799	0.8049966783	0.445751273
800	0.8050021991	0.4457267458
801	0.8050132407	0.4457179183
802	0.8050353238	0.4457007521
803	0.8050390043	0.445691177
804	0.8050334836	0.4456790427
805	0.8050537264	0.4456633718
806	0.8050702888	0.4456508637
807	0.8050758096	0.4456358541
808	0.8050923719	0.4456210457
809	0.8050739693	0.4456152087
810	0.805099733	0.4456045121
811	0.8051181356	0.4455891862
812	0.8051199759	0.4455793523
813	0.8051199759	0.445565004
814	0.8051254966	0.4455539049
815	0.8051457395	0.4455433522
816	0.8051346979	0.4455297803
817	0.8051218161	0.4455147994
818	0.8051199759	0.445503614
819	0.8051457395	0.4454913648
820	0.8051346979	0.4454757513
821	0.805142059	0.4454651123
822	0.8051162953	0.4454508503
823	0.8051549408	0.4454377384
824	0.8051457395	0.4454257767
825	0.8051586213	0.4454113134
826	0.8051880655	0.445401422
827	0.8051935863	0.4453857798
828	0.8052046279	0.4453770673
829	0.8052064682	0.4453666296
830	0.8052156695	0.4453603037
831	0.8052469539	0.4453519362
832	0.8051880655	0.445334425
833	0.8051899058	0.4453279553
834	0.8052156695	0.4453138658
835	0.8051935863	0.4453004089
836	0.80521935	0.445288821
837	0.8052359123	0.4452845654
838	0.8052211902	0.4452671117
839	0.8052322318	0.445251757
840	0.8052377526	0.445248479
841	0.8052119889	0.4452368336
842	0.80521935	0.445225677
843	0.8052524747	0.4452084246
844	0.8052322318	0.445191776
845	0.805254315	0.4451785203
846	0.805269037	0.445165926
847	0.805261676	0.4451541656
848	0.8052598357	0.4451417151
849	0.8052948007	0.4451235425
850	0.805304002	0.4451082166
851	0.8053168838	0.4450952197
852	0.8053260852	0.4450839481
853	0.8053150436	0.4450710375
854	0.8053592099	0.4450541877
855	0.8053610501	0.4450439224
856	0.8053555293	0.445034031
857	0.805338967	0.4450211205
858	0.8053444878	0.4450088425
859	0.8053592099	0.4449923376
860	0.8053684112	0.4449768392
861	0.8053794527	0.4449657401
862	0.8053886541	0.4449545547
863	0.8054033761	0.4449463598
864	0.8054475424	0.4449327879
865	0.8054714658	0.4449203086
866	0.805465945	0.4449089795
867	0.8054769866	0.4448992606
868	0.8054604243	0.4448899156
869	0.8054567437	0.4448807718
870	0.8054567437	0.4448658771
871	0.8054604243	0.4448552669
872	0.8054953892	0.4448376694
873	0.8055229931	0.444817714
874	0.8055248334	0.4448073051
875	0.8055119516	0.4447930143
876	0.8055303542	0.4447724263
877	0.8055303542	0.4447675957
878	0.8055193126	0.4447534774
879	0.8055266737	0.4447373464
880	0.8055321945	0.4447216754
881	0.8055377152	0.4447083335
